Timestamp,Winner,First Move Square,Player X Moves,Player O Moves,Player O Type
2023-12-05 20:42:48.077154,Draw,corner,5,4,Human
2023-12-05 20:44:16.148763,X,edge,3,2,Bot
2023-12-05 20:44:46.474009,X,corner,3,2,Bot
2023-12-05 20:45:45.329047,Draw,edge,5,4,Human
2023-12-05 20:46:49.494862,Draw,center,5,4,Human
2023-12-05 20:47:21.714560,O,center,4,4,Bot
2023-12-05 21:00:06.856624,O,edge,3,3,Bot
2023-12-05 21:04:35.763117,X,corner,3,2,Bot
2023-12-05 21:06:07.544863,O,edge,3,3,Human
2023-12-05 21:06:44.379791,X,corner,4,3,Human
2023-12-05 21:07:00.810324,X,corner,3,2,Bot
2023-12-05 21:08:15.195726,X,edge,5,4,Bot
2023-12-05 21:08:54.323105,X,center,5,4,Bot
2023-12-05 21:11:19.887425,O,center,4,4,Bot
2023-12-05 21:14:28.636818,X,corner,3,2,Bot
2023-12-05 21:15:45.835011,Draw,edge,5,4,Human
2023-12-05 21:17:13.544360,Draw,corner,5,4,Human
2023-12-05 21:18:11.062380,X,corner,4,3,Human
2023-12-05 21:19:05.896481,X,edge,5,4,Bot
2023-12-05 21:20:00.295728,Draw,center,5,4,Bot
2023-12-05 21:20:41.812411,O,edge,3,3,Human
2023-12-05 21:21:32.256109,X,corner,4,3,Bot
2023-12-05 21:22:16.352973,X,corner,4,3,Human
2023-12-05 21:23:05.517399,O,center,4,4,Bot
2023-12-05 21:23:25.712128,O,edge,3,3,Bot
2023-12-05 21:24:07.100928,O,edge,3,3,Human
2023-12-05 21:27:59.542195,O,center,4,4,Bot
2023-12-05 21:29:33.965153,O,edge,3,3,Human
2023-12-05 21:30:40.287177,X,corner,3,2,Human
2023-12-05 21:32:21.897601,X,corner,3,2,Bot
